Time (UTC+05:30),Clicks,Impressions,CTR,Position
2026-01-10T11:30:00,0,13,0%,8.5
2026-01-10T12:30:00,0,12,0%,5.8
2026-01-10T13:30:00,0,14,0%,6.7
2026-01-10T14:30:00,0,5,0%,10.4
2026-01-10T15:30:00,1,8,12.5%,13.2
2026-01-10T16:30:00,0,18,0%,7.5
2026-01-10T17:30:00,1,11,9.09%,8
2026-01-10T18:30:00,1,11,9.09%,5
2026-01-10T19:30:00,0,20,0%,9.2
2026-01-10T20:30:00,1,9,11.11%,9.6
2026-01-10T21:30:00,0,11,0%,7.6
2026-01-10T22:30:00,0,16,0%,6.9
2026-01-10T23:30:00,0,16,0%,7.7
2026-01-11T00:30:00,0,14,0%,7.3
2026-01-11T01:30:00,0,7,0%,6.9
2026-01-11T02:30:00,0,10,0%,6.9
2026-01-11T03:30:00,1,14,7.14%,7
2026-01-11T04:30:00,0,14,0%,7
2026-01-11T05:30:00,0,11,0%,43.5
2026-01-11T06:30:00,1,17,5.88%,8.2
2026-01-11T07:30:00,0,8,0%,8.5
2026-01-11T08:30:00,0,6,0%,13.8
2026-01-11T09:30:00,0,1,0%,9
2026-01-11T10:30:00,0,0,0%,0