Country,Clicks,Impressions,CTR,Position
United Kingdom,1,15,6.67%,7.67
Philippines,1,7,14.29%,9
Spain,1,5,20%,11.6
Egypt,1,4,25%,6
Belgium,1,3,33.33%,6.33
Belarus,1,1,100%,7
United States,0,70,0%,13.17
India,0,14,0%,7.36
Netherlands,0,13,0%,7
Canada,0,8,0%,5.88
Indonesia,0,8,0%,7.62
Saudi Arabia,0,7,0%,6.57
Italy,0,6,0%,6.83
Germany,0,6,0%,7.5
Australia,0,5,0%,6.2
Sweden,0,5,0%,8
Israel,0,4,0%,6.75
Taiwan,0,4,0%,7.5
Morocco,0,4,0%,9.25
France,0,4,0%,9.5
South Korea,0,4,0%,10.25
Pakistan,0,3,0%,4.67
Turkey,0,3,0%,5.33
Romania,0,3,0%,6.33
Singapore,0,3,0%,8.33
Russia,0,3,0%,11
Japan,0,3,0%,25.67
Syria,0,2,0%,4
Bulgaria,0,2,0%,4.5
Greece,0,2,0%,4.5
Finland,0,2,0%,5
Poland,0,2,0%,5
Tunisia,0,2,0%,5.5
Bosnia & Herzegovina,0,2,0%,6.5
Lithuania,0,2,0%,6.5
United Arab Emirates,0,2,0%,7
Bahrain,0,2,0%,7
Jordan,0,2,0%,7.5
Bangladesh,0,2,0%,8.5
Serbia,0,2,0%,8.5
Kenya,0,1,0%,1
Georgia,0,1,0%,5
Jamaica,0,1,0%,5
South Africa,0,1,0%,5
Austria,0,1,0%,6
Hong Kong,0,1,0%,6
Albania,0,1,0%,7
Azerbaijan,0,1,0%,7
Czechia,0,1,0%,7
Croatia,0,1,0%,7
Cambodia,0,1,0%,7
Honduras,0,1,0%,8
Qatar,0,1,0%,8
Iraq,0,1,0%,9
Oman,0,1,0%,9
Hungary,0,1,0%,10
Palestine,0,1,0%,10
St. Vincent & Grenadines,0,1,0%,10
Argentina,0,1,0%,11
Mexico,0,1,0%,11
New Zealand,0,1,0%,12
Senegal,0,1,0%,17
Cameroon,0,1,0%,18
Guernsey,0,1,0%,18
Portugal,0,1,0%,47